COUNTRY,Civil Unrest,Military Conflict,State Repression,Total_Events,Military_pct,Civil_pct,Repression_pct
Bahrain,10441,18,61,10520,0.1711026615969582,99.2490494296578,0.579847908745247
Iran,29141,986,735,30862,3.194867474564189,94.42356295768258,2.381569567753224
Syria,6611,111105,15678,133394,83.29085266203877,4.95599502226487,11.753152315696358
Yemen,21830,60273,5199,87302,69.03965544890151,25.005154521087718,5.955190030010767
