Event,Internet_Blackout,ACLED_Reported_Deaths,Real_Estimated_Deaths,The_Void_Gap,Source
Aban Protests (Nov 2019),Yes (NetBlocks),387,1500,1113,Reuters / Amnesty
Mahsa Protests (Fall 2022),Yes (NetBlocks),475,537,62,HRANA
